False;text;is_retweet;original_author;time;in_reply_to_screen_name;is_quote_status;retweet_count;favorite_count;source_url;truncated;hasHashtag;TweetID
True;I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… https://t.co/bYoUE91TOO;True;AndrewJenks;20160927162403;;False;804;2086;http://twitter.com;False;False;33
True;"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs";False;;20160927161228;;False;4829;7580;https://about.twitter.com/products/tweetdeck;False;False;34
True;"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.";True;repjohnlewis;20160927160349;;False;20006;24333;https://about.twitter.com/products/tweetdeck;False;True;35
True;When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ;False;;20160927155407;;False;8242;35744;https://about.twitter.com/products/tweetdeck;False;True;36
True;"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm";False;;20160927154248;;False;1350;2874;https://about.twitter.com/products/tweetdeck;False;True;37
True;"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden";False;;20160927153257;;False;5557;16289;https://about.twitter.com/products/tweetdeck;False;False;38
True;"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm";False;;20160927152617;;False;1453;4741;https://about.twitter.com/products/tweetdeck;False;False;39
True;One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon;False;;20160927151256;;False;1452;4840;https://about.twitter.com/products/tweetdeck;False;True;40
False;'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp;False;;20160927145557;;False;5365;10729;http://twitter.com/download/iphone;False;False;41
True;"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon";False;;20160927145301;;False;4773;14979;https://about.twitter.com/products/tweetdeck;False;True;42
False;"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km";False;;20160927145125;;False;7255;17380;http://twitter.com/download/iphone;False;True;43
False;Hillary's been failing for 30 years in not getting the job done - it will never change.;False;;20160927144909;;False;12127;31856;http://twitter.com/download/iphone;False;False;44
True;"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" https://t.co/0wrISjJe6z";False;;20160927135755;;False;16476;22611;https://about.twitter.com/products/tweetdeck;False;False;45
False;'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm;False;;20160927134907;;False;5827;14338;http://twitter.com/download/iphone;False;False;46
False;The #1 trend on Twitter right now is #TrumpWon - thank you!;False;;20160927131740;;False;19561;52449;http://twitter.com/download/iphone;False;True;47
False;I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.;False;;20160927131455;;False;9598;29309;http://twitter.com/download/iphone;False;False;48
